"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Bolton","Unit","Selected area","Bolton","Unit","Base population","Source","Geography","Time period"
"Population","Population",NA,NA,"%","4300","300000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Number of households","Total households",NA,NA,"%","1900","118800","households","all households","Office for National Statistics – Census 2021","Output area","2021"
"Residential property sales","Count of sales",NA,NA,"%","23","2563","sales","all sales","HM Land Registry – Price Paid Transaction Data","Lower layer super output area","Year ending September 2023"
"Age profile","Aged 0 to 4",6.4,6.2,"%","270","18500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 5 to 9",5.8,6.8,"%","250","20500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 10 to 14",5.6,7.2,"%","240","21500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 15 to 19",5.4,6.3,"%","230","19000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 20 to 24",5.7,5.6,"%","250","16900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 25 to 29",7,6.1,"%","300","18300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 30 to 34",6.6,6.8,"%","280","20300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 35 to 39",7.2,6.8,"%","310","20400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 40 to 44",6.4,6.4,"%","280","19100","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 45 to 49",6.6,6,"%","280","17900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 50 to 54",8.5,6.7,"%","370","20000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 55 to 59",7.7,6.5,"%","330","19500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 60 to 64",5.8,5.6,"%","250","16700","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 65 to 69",4.9,4.7,"%","210","14000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 70 to 74",4.5,4.5,"%","190","13400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 75 to 79",3.4,3.7,"%","150","11200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 80 to 84",1.9,2.3,"%","80","7000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 85 and over",0.7,2,"%","30","5900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Sex","Female",51.2,50.6,"%","2200","151700","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Sex","Male",48.8,49.4,"%","2100","148200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Live births","Live births",NA,NA,"%","14","3396","live births","all live births","Office for National Statistics – Mid Year Population Estimates","Lower layer super output area","2023"
"Deaths","Deaths",NA,NA,"%","16","2884","deaths","all deaths","Office for National Statistics – Mid Year Population Estimates","Lower layer super output area","2023"
"Legal partnership status","Never married and never registered a civil partnership",39.9,36.6,"%","1407","85007","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Married or in a registered civil partnership",42.2,45.6,"%","1486","105867","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Separated, but still legally married or still legally in a civil partnership",2.5,2.4,"%","88","5468","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Divorced or civil partnership dissolved",10.7,9.1,"%","376","21133","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Widowed or surviving civil partnership partner",4.8,6.4,"%","168","14816","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Country of birth","Born in the UK",95.3,83.1,"%","4139","245907","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Country of birth","Born outside the UK",4.7,16.9,"%","206","50052","people","all people","Office for National Statistics - Census 2021","Output area","2021"
