"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","England","Unit","Selected area","England","Unit","Base population","Source","Geography","Time period"
"Population","Population",NA,NA,"%","4300","57144400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Number of households","Total households",NA,NA,"%","1900","23436100","households","all households","Office for National Statistics – Census 2021","Output area","2021"
"Residential property sales","Count of sales",NA,NA,"%","23","551992","sales","all sales","HM Land Registry – Price Paid Transaction Data","Lower layer super output area","Year ending September 2023"
"Age profile","Aged 0 to 4",6.4,5.4,"%","270","3066900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 5 to 9",5.8,5.9,"%","250","3343200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 10 to 14",5.6,6.1,"%","240","3499000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 15 to 19",5.4,5.8,"%","230","3308900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 20 to 24",5.7,6,"%","250","3439000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 25 to 29",7,6.5,"%","300","3726400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 30 to 34",6.6,7,"%","280","3997000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 35 to 39",7.2,6.8,"%","310","3863600","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 40 to 44",6.4,6.5,"%","280","3688000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 45 to 49",6.6,6.1,"%","280","3480100","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
