"Custom area profile data for Selected area"
"Source: Office for National Statistics - Census 2021"

"Data generated by the Build a custom area profile tool on 6 Oct 2025"
"The data in this profile are aggregated from small areas on a best-fit basis, and therefore may differ slightly from other sources."

"Variable","Category","Selected area","Greater Manchester","Unit","Selected area","Greater Manchester","Unit","Base population","Source","Geography","Time period"
"Population","Population",NA,NA,"%","4300","2919300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Number of households","Total households",NA,NA,"%","1900","1178200","households","all households","Office for National Statistics – Census 2021","Output area","2021"
"Residential property sales","Count of sales",NA,NA,"%","23","25338","sales","all sales","HM Land Registry – Price Paid Transaction Data","Lower layer super output area","Year ending September 2023"
"Age profile","Aged 0 to 4",6.4,5.9,"%","270","173300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 5 to 9",5.8,6.4,"%","250","188200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 10 to 14",5.6,6.7,"%","240","194200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 15 to 19",5.4,6.3,"%","230","184000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 20 to 24",5.7,6.8,"%","250","198200","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 25 to 29",7,7.1,"%","300","208000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 30 to 34",6.6,7.4,"%","280","217300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 35 to 39",7.2,7.1,"%","310","207500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 40 to 44",6.4,6.5,"%","280","189900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 45 to 49",6.6,5.9,"%","280","172000","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 50 to 54",8.5,6.4,"%","370","187500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 55 to 59",7.7,6.2,"%","330","181600","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 60 to 64",5.8,5.3,"%","250","155900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 65 to 69",4.9,4.4,"%","210","127400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 70 to 74",4.5,4.1,"%","190","118300","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 75 to 79",3.4,3.4,"%","150","98400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 80 to 84",1.9,2.1,"%","80","62100","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Age profile","Aged 85 and over",0.7,1.9,"%","30","55500","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Sex","Female",51.2,50.7,"%","2200","1479400","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Sex","Male",48.8,49.3,"%","2100","1439900","people","all people","Office for National Statistics – Mid Year Population Estimates","Output area","2022"
"Live births","Live births",NA,NA,"%","14","31920","live births","all live births","Office for National Statistics – Mid Year Population Estimates","Lower layer super output area","2023"
"Deaths","Deaths",NA,NA,"%","16","26598","deaths","all deaths","Office for National Statistics – Mid Year Population Estimates","Lower layer super output area","2023"
"Legal partnership status","Never married and never registered a civil partnership",39.9,42.1,"%","1407","960486","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Married or in a registered civil partnership",42.2,41.2,"%","1486","940395","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Separated, but still legally married or still legally in a civil partnership",2.5,2.4,"%","88","53778","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Divorced or civil partnership dissolved",10.7,8.5,"%","376","194562","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Legal partnership status","Widowed or surviving civil partnership partner",4.8,5.9,"%","168","133710","people aged 16 years and over","people aged 16 years and over","Office for National Statistics - Census 2021","Output area","2021"
"Country of birth","Born in the UK",95.3,83.3,"%","4139","2387737","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Country of birth","Born outside the UK",4.7,16.7,"%","206","480016","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Passports held","UK passport",87.3,77.8,"%","3801","2231133","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Passports held","Non-UK passport",2.8,9.6,"%","121","275371","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Passports held","No passport held",9.9,12.6,"%","430","361250","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Length of residence in the UK","Born in the UK",95.3,83.3,"%","4139","2387737","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Length of residence in the UK","10 years or more",2.9,9,"%","124","256864","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Length of residence in the UK","5 years or more, but less than 10 years",0.9,3.1,"%","38","87967","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Length of residence in the UK","2 years or more, but less than 5 years",0.5,2.5,"%","23","72301","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Length of residence in the UK","Less than 2 years",0.4,2.2,"%","18","62895","people","all people","Office for National Statistics - Census 2021","Output area","2021"
"Household size","1 person in household",30.4,31.5,"%","568","371288","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household size","2 people in household",32.2,31.8,"%","600","374427","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household size","3 people in household",19.3,16.2,"%","361","190395","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household size","4 or more people in household",18.1,20.6,"%","337","242131","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household composition","One person household",30.4,31.5,"%","568","371289","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household composition","Single family household",64.8,61.7,"%","1211","726543","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household composition","Other household types",4.8,6.8,"%","90","80414","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is not deprived in any dimension",57,45.8,"%","1067","539608","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in one dimension",30.1,33.1,"%","563","389718","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in two dimensions",10.8,16,"%","203","188022","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in three dimensions",2.1,4.9,"%","40","57756","households","all households","Office for National Statistics - Census 2021","Output area","2021"
"Household deprivation","Household is deprived in four dimensions",NA,0.3,"%","0","3134","households","all households","Office for National Statistics - Census 2021","Output area","2021"
